EXPEDIENTE;ANNO;X_TRAMO;FECHA_FALTA;DIA_COMPLETO;ESTUDIOS;GRUPO;MATERIA;AUSENCIAS;RETRASOS;JUSTIFICADAS
9975329;2025;294604;23/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sistemas informáticos;1;0;0
9975329;2025;294604;12/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sistemas informáticos;1;0;0
9975329;2025;294627;18/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Inglés profesional para los ciclos formativos de Grado Superior;1;0;0
9975329;2025;294582;30/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sostenibilidad aplicada al sistema productivo;1;0;0
9975329;2025;294605;09/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Programación;1;0;0
9975329;2025;294582;13/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Programación;1;0;0
9975329;2025;294605;15/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Digitalización aplicada al sector productivo;1;0;0
9975329;2025;294582;21/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sostenibilidad aplicada al sistema productivo;1;0;0
9975329;2025;294604;07/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sistemas informáticos;1;0;0
9975329;2025;294604;01/12/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sistemas informáticos;1;0;0
9975329;2025;294605;15/12/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sistemas informáticos;1;0;0
9975329;2025;294604;13/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Bases de Datos;1;0;0
9975329;2025;294605;21/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Digitalización aplicada al sector productivo;1;0;0
9975329;2025;294584;23/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Lenguajes de marcas y sistemas de gestión de información;1;0;0
9975329;2025;294627;29/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Inglés profesional para los ciclos formativos de Grado Superior;1;0;0
9975329;2025;294585;05/02/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Inglés profesional para los ciclos formativos de Grado Superior;1;0;0
10012838;2025;294585;15/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Inglés profesional para los ciclos formativos de Grado Superior;1;0;1
10012838;2025;294584;04/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Bases de Datos;1;0;0
10012838;2025;294605;04/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Lenguajes de marcas y sistemas de gestión de información;1;0;0
10012838;2025;294585;05/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Inglés profesional para los ciclos formativos de Grado Superior;1;0;0
10012838;2025;294584;10/12/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10012838;2025;294582;11/12/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Programación;1;0;1
10012838;2025;294584;17/12/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10012838;2025;294627;30/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Lenguajes de marcas y sistemas de gestión de información;1;0;0
10012838;2025;294584;20/03/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Programación;1;0;0
9746388;2025;294650;16/09/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión Financiera;1;0;0
9746388;2025;294649;19/09/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión de recursos humanos;1;0;0
9746388;2025;294646;07/11/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión logística y comercial;1;0;0
9746388;2025;294647;09/01/2026;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión logística y comercial;1;0;0
9746388;2025;294650;12/01/2026;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Proyecto intermodular II;1;0;0
10050498;2025;294646;25/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM V;Sistemas informáticos;1;0;0
10050498;2025;294647;20/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM V;Sistemas informáticos;1;0;0
10219361;2025;294650;19/01/2026;N;Curso de Esp. en Ciberseguridad en entornos de las tecnologías de la información (LOFP);CUR CIBER;Normativa de ciberseguridad;1;0;0
