ALUMNO;MATRICULA;ETAPA;ANNO;TIPO;ESTUDIOS;GRUPO;REPETIDOR;FECHAMATRICULA;CENTRO;PROCEDENCIA;ESTADOMATRICULA;FECHARESMATRICULA;NUM_EXP_CENTRO;PROGRAMA_2
1027986;9759989;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPT;N;25/06/2025;2003892;;a 2ª Ordinaria;30/09/2025;2189034;
510614;9767289;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRVmodPR;N;26/06/2025;2003892;;Obtiene Título;18/12/2025;2188918;
602982;9745778;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;20/06/2025;2003892;;Sin Finalizar;26/03/2026;2805336;
138716;9745366;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;20/06/2025;2003892;;Obtiene Título;18/12/2025;8123;
660014;9745355;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;20/06/2025;2003892;;Obtiene Título;18/12/2025;2805302;
727502;9745817;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;20/06/2025;2003892;;Obtiene Título;18/12/2025;2805413;
176824;10221324;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;18/09/2025;2003892;;Obtiene Título;18/12/2025;2805701;
660531;9751366;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;23/06/2025;2003892;;Obtiene Título;18/12/2025;1324;
545184;9756810;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;25/06/2025;2003892;;Obtiene Título;18/12/2025;2188954;
374333;9751833;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;23/06/2025;2003892;;Obtiene Título;18/12/2025;2188878;
524291;9757951;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;25/06/2025;2003892;;Obtiene Título;26/03/2026;1028;
661978;9751551;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;23/06/2025;2003892;;Obtiene Título;18/12/2025;2805304;
228294;9751565;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;23/06/2025;2003892;;Obtiene Título;26/03/2026;2189298;
1457211;10244025;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;N;25/09/2025;2003892;;Obtiene Título;18/12/2025;2805183;
480455;10292817;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRDmodPR;S;13/10/2025;2003892;2003892;Obtiene Título;18/12/2025;408;
593265;9745382;817;2025;O;CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes;SMRVmodPT;N;20/06/2025;2003892;;Obtiene Título;18/12/2025;2188375;
800250;10095061;1470;2025;O;1º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;1 PEFP JAR;N;09/07/2025;2003892;;;;2806829;
874974;10116200;1470;2025;O;1º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;1 PEFP JAR;N;17/07/2025;2003892;;;;2806876;
901376;10125973;1470;2025;O;1º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;1 PEFP JAR;S;23/07/2025;2003892;2003892;;;2805768;
675073;10099889;1470;2025;O;1º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;1 PEFP JAR;N;10/07/2025;2003892;;Anulada;24/10/2025;2806843;
801638;10115759;1470;2025;O;1º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;1 PEFP JAR;N;17/07/2025;2003892;;;;2806877;
796389;10208350;1470;2025;O;1º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;1 PEFP JAR;N;16/09/2025;2003892;;;;2806925;
777914;10115761;1470;2025;O;1º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;1 PEFP JAR;N;17/07/2025;2003892;;;;2806878;
593105;10100569;1470;2025;O;1º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;1 PEFP JAR;N;10/07/2025;2003892;;;;2806844;
607300;9751127;1470;2025;O;2º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;2 PEFP JAR;N;23/06/2025;2003892;2003892;;;2805896;
184344;9845453;1470;2025;O;2º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;2 PEFP JAR;N;30/06/2025;2003892;2003892;;;2805996;
728340;10207819;1470;2025;O;2º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;2 PEFP JAR;N;16/09/2025;2003892;2003892;;;2805895;
797844;9759824;1470;2025;O;2º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;2 PEFP JAR;N;25/06/2025;2003892;2003892;;;2805891;
809490;9757812;1470;2025;O;2º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;2 PEFP JAR;N;25/06/2025;2003892;2003892;;;2805888;
157464;9751389;1470;2025;O;2º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería;2 PEFP JAR;N;23/06/2025;2003892;2003892;;;2806105;
388625;9745414;817;2025;O;CFGM (Mod. Presencial) (LOE) - Gestión Administrativa;GAV mod PR;N;20/06/2025;2003892;;a 2ª Ordinaria;18/12/2025;2189090;
644789;9746385;817;2025;O;CFGM (Mod. Presencial) (LOE) - Gestión Administrativa;GAV mod PR;N;20/06/2025;2003892;;Obtiene Título;18/12/2025;2805778;
672950;9782220;817;2025;O;CFGM (Mod. Presencial) (LOE) - Gestión Administrativa;GAD mod PR;N;26/06/2025;2003892;;Obtiene Título;18/12/2025;2805350;
663937;9753835;817;2025;O;CFGM (Mod. Presencial) (LOE) - Gestión Administrativa;GAD mod PR;N;23/06/2025;2003892;;Obtiene Título;18/12/2025;2189266;
902998;9757879;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIR.MODUL;N;25/06/2025;2003892;;Obtiene Título;12/09/2025;2806282;
623451;9759491;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIRmodPR;N;25/06/2025;2003892;;Obtiene Título;18/12/2025;2189264;
234960;9751643;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIRmodPR;N;23/06/2025;2003892;;Obtiene Título;18/12/2025;2188937;
540377;10188154;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIRmodPR;N;09/09/2025;2003892;;Obtiene Título;18/12/2025;2805507;
176801;9759440;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIRmodPR;S;25/06/2025;2003892;2003892;a 2ª Ordinaria;18/12/2025;8776;
1581997;9752437;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIRmodPR;N;23/06/2025;2003892;;Obtiene Título;18/12/2025;2805425;
536999;9751685;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIRmodPR;N;23/06/2025;2003892;;Obtiene Título;18/12/2025;2805424;
193091;9759957;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIRmodPR;N;25/06/2025;2003892;;a 2ª Ordinaria;18/12/2025;7897;
592451;10115382;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIR_TEC;N;15/07/2025;2003892;;Obtiene Título;10/11/2025;2189256;
597569;10112320;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIR_TEC;N;15/07/2025;2003892;;Obtiene Título;10/11/2025;2805275;
595164;10112316;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIR_TEC;N;15/07/2025;2003892;;Obtiene Título;10/11/2025;2805317;
1385094;10104028;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIR_TEC;N;11/07/2025;2003892;;Obtiene Título;10/11/2025;2805332;
338803;10109847;845;2025;O;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red;ASIR_TEC;N;14/07/2025;2003892;;Obtiene Título;10/11/2025;8114;
539840;10089373;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;AD_TEC;N;08/07/2025;2003892;;Obtiene Título;10/11/2025;2189042;
47867;10089349;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;AD_TEC;N;08/07/2025;2003892;;Obtiene Título;10/11/2025;2805284;
234663;10104828;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;AD_TEC;N;11/07/2025;2003892;;Obtiene Título;10/11/2025;2188995;
396083;10188560;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;09/09/2025;2003892;;Obtiene Título;18/12/2025;2806307;
648023;10188573;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;09/09/2025;2003892;;Obtiene Título;18/12/2025;2806510;
890572;10188558;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;09/09/2025;2003892;;a 2ª Ordinaria;18/12/2025;6036;
1184823;10172870;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;04/09/2025;2003892;;Obtiene Título;18/12/2025;2805853;
183486;10206970;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;16/09/2025;2003892;;Obtiene Título;18/12/2025;2805245;
299863;10210981;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;S;17/09/2025;2003892;2003892;Obtiene Título;18/12/2025;2188741;
183719;10195385;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;11/09/2025;2003892;;Obtiene Título;18/12/2025;2805087;
604526;10188148;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;09/09/2025;2003892;;Obtiene Título;18/12/2025;2188472;
697211;10188153;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;09/09/2025;2003892;;Obtiene Título;18/12/2025;2805556;
143674;10191842;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;10/09/2025;2003892;;Obtiene Título;18/12/2025;2805567;
538030;10198879;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;12/09/2025;2003892;;Obtiene Título;18/12/2025;2805195;
1330163;10187800;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;N;09/09/2025;2003892;;Anulada;17/12/2025;2188129;
440838;10221441;845;2025;O;CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección;ADmodPR;S;18/09/2025;2003892;2003892;Obtiene Título;18/12/2025;8360;
