MATRICULA;ANNO;CURSO;EVALUACION;SESION;MATERIA;CL_MATERIA;SUBGRUPO;NOTA;CODIGONOTA;OPCION;X_OFERTAMATRIG;X_CONVCENTRO;X_MATMATRICULA
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Programación de servicios y procesos;66987;Matriculada;;;Comunes;114687;244595;66410199
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Programación avanzada;76102;Matriculada;4;1574;Optativas;114687;237625;66410206
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Programación de servicios y procesos;66987;Matriculada;;;Comunes;114687;239151;66410199
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Programación de servicios y procesos;66987;Matriculada;2;1570;Comunes;114687;237625;66410199
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Acceso a datos;66989;Matriculada;;;Comunes;114687;244595;66410200
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Acceso a datos;66989;Matriculada;10;1592;Comunes;114687;239883;66410200
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Acceso a datos;66989;Matriculada;;;Comunes;114687;239151;66410200
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Acceso a datos;66989;Matriculada;9;1590;Comunes;114687;237625;66410200
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Desarrollo de interfaces;66990;Matriculada;;;Comunes;114687;244595;66410201
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Desarrollo de interfaces;66990;Matriculada;6;1578;Comunes;114687;239883;66410201
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Desarrollo de interfaces;66990;Matriculada;;;Comunes;114687;239151;66410201
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Desarrollo de interfaces;66990;Matriculada;6;1578;Comunes;114687;237625;66410201
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Programación multimedia y dispositivos móviles;66991;Matriculada;;;Comunes;114687;244595;66410202
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Programación multimedia y dispositivos móviles;66991;Matriculada;6;1578;Comunes;114687;239883;66410202
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Programación multimedia y dispositivos móviles;66991;Matriculada;;;Comunes;114687;239151;66410202
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Programación multimedia y dispositivos móviles;66991;Matriculada;6;1578;Comunes;114687;237625;66410202
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Sistemas de gestión empresarial;66992;Matriculada;;;Comunes;114687;244595;66410203
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Sistemas de gestión empresarial;66992;Matriculada;7;1580;Comunes;114687;237625;66410203
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Sistemas de gestión empresarial;66992;Matriculada;6;1578;Comunes;114687;239883;66410203
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Sistemas de gestión empresarial;66992;Matriculada;;;Comunes;114687;239151;66410203
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Itinerario personal para la empleabilidad II;66995;Matriculada;;;Comunes;114687;244595;66410204
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Itinerario personal para la empleabilidad II;66995;Matriculada;8;1588;Comunes;114687;239883;66410204
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Itinerario personal para la empleabilidad II;66995;Matriculada;;;Comunes;114687;239151;66410204
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Itinerario personal para la empleabilidad II;66995;Matriculada;9;1590;Comunes;114687;237625;66410204
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Proyecto intermodular de desarrollo de aplicaciones multiplataforma;66996;Matriculada;;;Comunes;114687;244595;66410205
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Proyecto intermodular de desarrollo de aplicaciones multiplataforma;66996;Matriculada;7;1580;Comunes;114687;239883;66410205
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Proyecto intermodular de desarrollo de aplicaciones multiplataforma;66996;Matriculada;;;Comunes;114687;239151;66410205
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Proyecto intermodular de desarrollo de aplicaciones multiplataforma;66996;Matriculada;5;1576;Comunes;114687;237625;66410205
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Programación avanzada;76102;Matriculada;;;Optativas;114687;244595;66410206
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Programación avanzada;76102;Matriculada;6;1578;Optativas;114687;239883;66410206
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Programación avanzada;76102;Matriculada;;;Optativas;114687;239151;66410206
9743885;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Programación de servicios y procesos;66987;Matriculada;5;1576;Comunes;114687;239883;66410199
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Sistemas de gestión empresarial;66992;Matriculada;;;Comunes;114687;244595;66410664
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Sistemas de gestión empresarial;66992;Matriculada;9;1590;Comunes;114687;239883;66410664
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Sistemas de gestión empresarial;66992;Matriculada;;;Comunes;114687;239151;66410664
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Sistemas de gestión empresarial;66992;Matriculada;7;1580;Comunes;114687;237625;66410664
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Itinerario personal para la empleabilidad II;66995;Matriculada;;;Comunes;114687;244595;66410665
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Itinerario personal para la empleabilidad II;66995;Matriculada;7;1580;Comunes;114687;239883;66410665
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Itinerario personal para la empleabilidad II;66995;Matriculada;;;Comunes;114687;239151;66410665
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Itinerario personal para la empleabilidad II;66995;Matriculada;7;1580;Comunes;114687;237625;66410665
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Proyecto intermodular de desarrollo de aplicaciones multiplataforma;66996;Matriculada;;;Comunes;114687;244595;66410666
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Proyecto intermodular de desarrollo de aplicaciones multiplataforma;66996;Matriculada;9;1590;Comunes;114687;239883;66410666
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Proyecto intermodular de desarrollo de aplicaciones multiplataforma;66996;Matriculada;;;Comunes;114687;239151;66410666
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Proyecto intermodular de desarrollo de aplicaciones multiplataforma;66996;Matriculada;8;1588;Comunes;114687;237625;66410666
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Programación avanzada;76102;Matriculada;;;Optativas;114687;244595;66410667
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Programación avanzada;76102;Matriculada;6;1578;Optativas;114687;239883;66410667
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Programación avanzada;76102;Matriculada;;;Optativas;114687;239151;66410667
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Programación avanzada;76102;Matriculada;1;1568;Optativas;114687;237625;66410667
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Programación de servicios y procesos;66987;Matriculada;6;1578;Comunes;114687;237625;66410660
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Programación de servicios y procesos;66987;Matriculada;;;Comunes;114687;244595;66410660
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Programación de servicios y procesos;66987;Matriculada;7;1580;Comunes;114687;239883;66410660
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Programación de servicios y procesos;66987;Matriculada;;;Comunes;114687;239151;66410660
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Acceso a datos;66989;Matriculada;;;Comunes;114687;244595;66410661
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Acceso a datos;66989;Matriculada;9;1590;Comunes;114687;239883;66410661
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Acceso a datos;66989;Matriculada;;;Comunes;114687;239151;66410661
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Acceso a datos;66989;Matriculada;10;1592;Comunes;114687;237625;66410661
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Desarrollo de interfaces;66990;Matriculada;;;Comunes;114687;244595;66410662
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Desarrollo de interfaces;66990;Matriculada;8;1588;Comunes;114687;239883;66410662
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Desarrollo de interfaces;66990;Matriculada;;;Comunes;114687;239151;66410662
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Desarrollo de interfaces;66990;Matriculada;7;1580;Comunes;114687;237625;66410662
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Segunda Ordinaria;;Programación multimedia y dispositivos móviles;66991;Matriculada;;;Comunes;114687;244595;66410663
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2ª Evaluación;;Programación multimedia y dispositivos móviles;66991;Matriculada;7;1580;Comunes;114687;239883;66410663
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;Primera Ordinaria;;Programación multimedia y dispositivos móviles;66991;Matriculada;;;Comunes;114687;239151;66410663
9743904;2025;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1ª Evaluación;;Programación multimedia y dispositivos móviles;66991;Matriculada;7;1580;Comunes;114687;237625;66410663
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Primera Ordinaria;;Ciencias aplicadas II;67395;Matriculada;;;Comunes;116059;239151;66410738
9743909;2025;2º CFGB (LOFP) - Informática de oficina;1ª Evaluación;;Ciencias aplicadas II;67395;Matriculada;Suficiente;1650;Comunes;116059;237625;66410738
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Segunda Ordinaria;;Ciencias aplicadas II;67395;Matriculada;;;Comunes;116059;244595;66410738
9743909;2025;2º CFGB (LOFP) - Informática de oficina;1ª Evaluación;;Operaciones auxiliares para la configuración y la explotación;67393;Matriculada;9;1590;Comunes;116059;237625;66410737
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Primera Ordinaria;;Operaciones auxiliares para la configuración y la explotación;67393;Matriculada;;;Comunes;116059;239151;66410737
9743909;2025;2º CFGB (LOFP) - Informática de oficina;2ª Evaluación;;Operaciones auxiliares para la configuración y la explotación;67393;Matriculada;;;Comunes;116059;239883;66410737
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Segunda Ordinaria;;Operaciones auxiliares para la configuración y la explotación;67393;Matriculada;;;Comunes;116059;244595;66410737
9743909;2025;2º CFGB (LOFP) - Informática de oficina;1ª Evaluación;;Instalación y mantenimiento de redes para transmisión de datos;67392;Matriculada;7;1580;Comunes;116059;237625;66410736
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Primera Ordinaria;;Instalación y mantenimiento de redes para transmisión de datos;67392;Matriculada;;;Comunes;116059;239151;66410736
9743909;2025;2º CFGB (LOFP) - Informática de oficina;2ª Evaluación;;Instalación y mantenimiento de redes para transmisión de datos;67392;Matriculada;6;1578;Comunes;116059;239883;66410736
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Segunda Ordinaria;;Instalación y mantenimiento de redes para transmisión de datos;67392;Matriculada;;;Comunes;116059;244595;66410736
9743909;2025;2º CFGB (LOFP) - Informática de oficina;1ª Evaluación;;Proyecto intermodular de aprendizaje colaborativo;67397;Matriculada;10;1592;Comunes;116059;237625;66410740
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Primera Ordinaria;;Proyecto intermodular de aprendizaje colaborativo;67397;Matriculada;;;Comunes;116059;239151;66410740
9743909;2025;2º CFGB (LOFP) - Informática de oficina;2ª Evaluación;;Proyecto intermodular de aprendizaje colaborativo;67397;Matriculada;;;Comunes;116059;239883;66410740
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Segunda Ordinaria;;Proyecto intermodular de aprendizaje colaborativo;67397;Matriculada;;;Comunes;116059;244595;66410740
9743909;2025;2º CFGB (LOFP) - Informática de oficina;1ª Evaluación;;Comunicación y Ciencias Sociales II;67396;Matriculada;Sobresaliente;1656;Comunes;116059;237625;66410739
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Primera Ordinaria;;Comunicación y Ciencias Sociales II;67396;Matriculada;;;Comunes;116059;239151;66410739
9743909;2025;2º CFGB (LOFP) - Informática de oficina;2ª Evaluación;;Comunicación y Ciencias Sociales II;67396;Matriculada;;;Comunes;116059;239883;66410739
9743909;2025;2º CFGB (LOFP) - Informática de oficina;Segunda Ordinaria;;Comunicación y Ciencias Sociales II;67396;Matriculada;;;Comunes;116059;244595;66410739
9743909;2025;2º CFGB (LOFP) - Informática de oficina;2ª Evaluación;;Ciencias aplicadas II;67395;Matriculada;;;Comunes;116059;239883;66410738
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Segunda Ordinaria;;Gestión Financiera;66785;Matriculada;;;Comunes;114783;244595;66412182
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;2ª Evaluación;;Gestión Financiera;66785;Matriculada;1;1568;Comunes;114783;239883;66412182
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Primera Ordinaria;;Gestión Financiera;66785;Matriculada;;;Comunes;114783;239151;66412182
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;1ª Evaluación;;Gestión Financiera;66785;Matriculada;3;1572;Comunes;114783;237625;66412182
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;2ª Evaluación;;Itinerario personal para la empleabilidad II;66788;Matriculada;7;1580;Comunes;114783;239883;66412183
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Primera Ordinaria;;Itinerario personal para la empleabilidad II;66788;Matriculada;;;Comunes;114783;239151;66412183
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;1ª Evaluación;;Itinerario personal para la empleabilidad II;66788;Matriculada;8;1588;Comunes;114783;237625;66412183
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Segunda Ordinaria;;Itinerario personal para la empleabilidad II;66788;Matriculada;;;Comunes;114783;244595;66412183
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Segunda Ordinaria;;Proyecto intermodular de administración y finanzas;66789;Matriculada;;;Comunes;114783;244595;66412184
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;2ª Evaluación;;Proyecto intermodular de administración y finanzas;66789;Matriculada;10;1592;Comunes;114783;239883;66412184
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Primera Ordinaria;;Proyecto intermodular de administración y finanzas;66789;Matriculada;;;Comunes;114783;239151;66412184
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;1ª Evaluación;;Gestión de recursos humanos;66784;Matriculada;7;1580;Comunes;114783;237625;66412181
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Primera Ordinaria;;Gestión de recursos humanos;66784;Matriculada;;;Comunes;114783;239151;66412181
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;2ª Evaluación;;Gestión de recursos humanos;66784;Matriculada;6;1578;Comunes;114783;239883;66412181
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Segunda Ordinaria;;Gestión de recursos humanos;66784;Matriculada;;;Comunes;114783;244595;66412181
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;1ª Evaluación;;Simulación empresarial;66783;Matriculada;9;1590;Comunes;114783;237625;66412180
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Primera Ordinaria;;Simulación empresarial;66783;Matriculada;;;Comunes;114783;239151;66412180
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;2ª Evaluación;;Simulación empresarial;66783;Matriculada;7;1580;Comunes;114783;239883;66412180
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Segunda Ordinaria;;Simulación empresarial;66783;Matriculada;;;Comunes;114783;244595;66412180
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;1ª Evaluación;;Gestión logística y comercial;66782;Matriculada;4;1574;Comunes;114783;237625;66412179
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;Primera Ordinaria;;Gestión logística y comercial;66782;Matriculada;;;Comunes;114783;239151;66412179
9743968;2025;2º de CFGS (LOFP) - Administración y Finanzas;2ª Evaluación;;Gestión logística y comercial;66782;Matriculada;4;1574;Comunes;114783;239883;66412179
