ANNO;GRUPO;ESTUDIO;CURSO
2025;SMRDmodPT;CFGM (Modular presencial) (Sistemas Microinform. y Redes);CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
2025;SMRVmodPR;CFGM (Modular presencial) (Sistemas Microinform. y Redes);CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
2025;SMRDmodPR;CFGM (Modular presencial) (Sistemas Microinform. y Redes);CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
2025;SMRVmodPT;CFGM (Modular presencial) (Sistemas Microinform. y Redes);CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
2025;1 PEFP JAR;PEFP de Actividades auxiliares en viveros, jardines y centros de jardinería;1º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería
2025;2 PEFP JAR;PEFP de Actividades auxiliares en viveros, jardines y centros de jardinería;2º de PEFP - Actividades Auxiliares en Viveros, Jardines y Centros de Jardinería
2025;GAV mod PR;CFGM (Modular presencial) (Gestión Administrativa) (LOE);CFGM (Mod. Presencial) (LOE) - Gestión Administrativa
2025;GAD mod PT;CFGM (Modular presencial) (Gestión Administrativa) (LOE);CFGM (Mod. Presencial) (LOE) - Gestión Administrativa
2025;GAD mod PR;CFGM (Modular presencial) (Gestión Administrativa) (LOE);CFGM (Mod. Presencial) (LOE) - Gestión Administrativa
2025;GAV mod PT;CFGM (Modular presencial) (Gestión Administrativa) (LOE);CFGM (Mod. Presencial) (LOE) - Gestión Administrativa
2025;ASIRmodPT;CFGS (Modular presencial) (Adm. Sist. Inform. en Red) LOE;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
2025;ASIR.MODUL;CFGS (Modular presencial) (Adm. Sist. Inform. en Red) LOE;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
2025;ASIRmodPR;CFGS (Modular presencial) (Adm. Sist. Inform. en Red) LOE;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
2025;ASIR_TEC;CFGS (Modular presencial) (Adm. Sist. Inform. en Red) LOE;CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
2025;AD_TEC;CFGS (Modular presencial) (Asistencia a la dirección);CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección
2025;ADmodPR;CFGS (Modular presencial) (Asistencia a la dirección);CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección
2025;ADmodPT;CFGS (Modular presencial) (Asistencia a la dirección);CFGS (Mod. Presencial) (LOE) - Asistencia a la Dirección
2025;AFDmodPT;CFGS (Modular presencial) (Administración y finanzas) LOE;CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
2025;AFDmodPR;CFGS (Modular presencial) (Administración y finanzas) LOE;CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
2025;AFVmodPT;CFGS (Modular presencial) (Administración y finanzas) LOE;CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
2025;AFVmodPR;CFGS (Modular presencial) (Administración y finanzas) LOE;CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
2025;AFD_TEC;CFGS (Modular presencial) (Administración y finanzas) LOE;CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
2025;AFV_TEC;CFGS (Modular presencial) (Administración y finanzas) LOE;CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
2025;DAMDmodPR;CFGS (Modular presencial) (Desarrollo aplicaciones multiplataforma);CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
2025;DAMVmodPR;CFGS (Modular presencial) (Desarrollo aplicaciones multiplataforma);CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
2025;DAMDmodPT;CFGS (Modular presencial) (Desarrollo aplicaciones multiplataforma);CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
2025;DAMD_TEC;CFGS (Modular presencial) (Desarrollo aplicaciones multiplataforma);CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
2025;DAMVmodPT;CFGS (Modular presencial) (Desarrollo aplicaciones multiplataforma);CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
2025;DAMV_TEC;CFGS (Modular presencial) (Desarrollo aplicaciones multiplataforma);CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
2025;DAWmodPR;CFGS (Modular presencial) (Desarrollo de aplicaciones web);CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Web
2025;DAW_TEC;CFGS (Modular presencial) (Desarrollo de aplicaciones web);CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Web
2025;DAWmodPT;CFGS (Modular presencial) (Desarrollo de aplicaciones web);CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Web
2025;GA V MOD;CFGM (Modular presencial) (Gestión Administrativa) (LOE);CFGM (Mod. Presencial) (LOFP) - Gestión Administrativa
2025;GA D MOD;CFGM (Modular presencial) (Gestión Administrativa) (LOE);CFGM (Mod. Presencial) (LOFP) - Gestión Administrativa
2025;ASIR MOD;CFGS (Modular presencial) (Adm. Sist. Inform. en Red) LOE;CFGS (Mod. Presencial) (LOFP) - Administración de Sistemas Informáticos en Red
2025;DAM D MOD;CFGS (Modular presencial) (Desarrollo aplicaciones multiplataforma);CFGS (Mod. Presencial) (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;DAM V MOD;CFGS (Modular presencial) (Desarrollo aplicaciones multiplataforma);CFGS (Mod. Presencial) (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;DAW MOD;CFGS (Modular presencial) (Desarrollo de aplicaciones web);CFGS (Mod. Presencial) (LOFP) - Desarrollo de Aplicaciones Web
2025;AF D MOD;CFGS (Modular presencial) (Administración y finanzas) LOE;CFGS (Mod. Presencial) (LOFP) - Administración y Finanzas
2025;AF V MOD;CFGS (Modular presencial) (Administración y finanzas) LOE;CFGS (Mod. Presencial) (LOFP) - Administración y Finanzas
2025;X2º ASIR D;CFGS   (Administración de Sistemas Informáticos en Red);2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red
2025;2º ASIR D;CFGS   (Administración de Sistemas Informáticos en Red);2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red
2025;AD MOD;CFGS (Modular presencial) (Asistencia a la dirección);CFGS (Mod. Presencial) (LOFP) - Asistencia a la Dirección
2025;1º DAM D;CFGS   (Desarrollo de Aplicaciones Multiplataforma);1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;X1º DAM D;CFGS   (Desarrollo de Aplicaciones Multiplataforma);1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;X1º DAM V;CFGS   (Desarrollo de Aplicaciones Multiplataforma);1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;1º DAM V;CFGS   (Desarrollo de Aplicaciones Multiplataforma);1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;X2º DAM D;CFGS   (Desarrollo de Aplicaciones Multiplataforma);2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;2º DAM V;CFGS   (Desarrollo de Aplicaciones Multiplataforma);2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;2º DAM D;CFGS   (Desarrollo de Aplicaciones Multiplataforma);2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;X2º DAM V;CFGS   (Desarrollo de Aplicaciones Multiplataforma);2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;X1 CFGB SA;CF de Grado Básico (Servicios administrativos);1º CFGB (LOFP) - Servicios Administrativos
2025;1º CFGB SA;CF de Grado Básico (Servicios administrativos);1º CFGB (LOFP) - Servicios Administrativos
2025;1º AF D BL;CFGS   (Administración y Finanzas);1º de CFGS (LOFP) - Administración y Finanzas
2025;1º AF V BL;CFGS   (Administración y Finanzas);1º de CFGS (LOFP) - Administración y Finanzas
2025;1º AF D;CFGS   (Administración y Finanzas);1º de CFGS (LOFP) - Administración y Finanzas
2025;1º AF V;CFGS   (Administración y Finanzas);1º de CFGS (LOFP) - Administración y Finanzas
2025;X1º AF D;CFGS   (Administración y Finanzas);1º de CFGS (LOFP) - Administración y Finanzas
2025;X1º AF V;CFGS   (Administración y Finanzas);1º de CFGS (LOFP) - Administración y Finanzas
2025;2º AF V;CFGS   (Administración y Finanzas);2º de CFGS (LOFP) - Administración y Finanzas
2025;2ºAFD-BL;CFGS   (Administración y Finanzas);2º de CFGS (LOFP) - Administración y Finanzas
2025;X2º AF V;CFGS   (Administración y Finanzas);2º de CFGS (LOFP) - Administración y Finanzas
2025;2º AF V BL;CFGS   (Administración y Finanzas);2º de CFGS (LOFP) - Administración y Finanzas
2025;2º AF D;CFGS   (Administración y Finanzas);2º de CFGS (LOFP) - Administración y Finanzas
2025;X1 CFGB IO;CF de Grado Básico (Informática de oficina);1º CFGB (LOFP) - Informática de oficina
2025;1º CFGB IO;CF de Grado Básico (Informática de oficina);1º CFGB (LOFP) - Informática de oficina
2025;X2 CFGB SA;CF de Grado Básico (Servicios administrativos);2º CFGB (LOFP) - Servicios Administrativos
2025;2º CFGB SA;CF de Grado Básico (Servicios administrativos);2º CFGB (LOFP) - Servicios Administrativos
2025;1º SMR D;CFGM   (Sistemas Microinformáticos y Redes);1º de CFGM (LOFP) - Sistemas Microinformáticos y Redes
2025;X1º SMR D;CFGM   (Sistemas Microinformáticos y Redes);1º de CFGM (LOFP) - Sistemas Microinformáticos y Redes
2025;1º SMR V;CFGM   (Sistemas Microinformáticos y Redes);1º de CFGM (LOFP) - Sistemas Microinformáticos y Redes
2025;X1º SMR V;CFGM   (Sistemas Microinformáticos y Redes);1º de CFGM (LOFP) - Sistemas Microinformáticos y Redes
