CODIGO;DESCRIPCION;ABREVIATURA
6146;Recursos Humanos;RHU
5677;Música;MUS
5680;Ciencias Sociales, Geografía e;GEH
5685;Matemáticas;MAT
10507;Comunicación y atención al cli;CAC
6744;Técnicas Básicas de Albañilerí;TBA
6001;Tecnología Industrial;TIN
9029;Historia de España;HE
12135;Alemán II (segundo idioma);AL2SI
9173;Ciencias de la Tierra y medioa;CTM
5998;Historia de la Filosofía;HFI
12119;Dibujo Técnico II;DBTII
5932;Psicología;PSI
5742;Geografía;GEO
9249;Seguridad informática;SEIN
6272;Religión Islámica;RIS
9007;Grabación de datos;GD
9999;Diseño de interfaces WEB;DIW
9615;Tratamiento informático de la ;TI
10261;Taller de iniciación a la acti;TIAEE
11115;Montaje y mantenimiento de sis;MMSCI
11095;Comunicación y sociedad I;CS1
10825;Proyecto de asistencia a la di;PAD
5994;Imagen;IMA
11809;Geografía e Historia;GEHIS
5695;Filosofía;FIL
11821;Cultura Científica;CUCI
12021;Módulos profesionales;MPROF
11823;Tecnologías de la Información ;TIC
12067;Tecnología robótica;TCROB
12523;Ciencias aplicadas básicas I;CAB1
15201;Creación de Contenidos Artísti;CCAA
14861;Educación en valores cívicos y;EVCE
16101;Unión Europea;UE
16593;Introducción a la programación;IALP
16543;Gestión contable;GC
10561;Marketing digital;MD
16541;Práctica fiscal y gestión trib;PFGT
6238;Análisis y Diseño Detallado de;ADA
6141;Gestión de Aprovisionamiento;GAP
5668;Lengua Castellana y Literatura;LCL
5671;Francés;FRA
9613;Empresa y Administración;EYA
10503;Ofimática y proceso de la info;OPI
6271;Religión Evangélica;REV
6746;Mantenimiento Eléctrico y Mecá;MEM
5691;Latín;LAT
5997;Historia del Mundo Contemporán;HMC
5702;Dibujo Técnico;DBT
5999;Matemáticas aplicadas a las ci;MCS
5705;Geología;GLG
12125;Latín II;LATII
12109;Alemán II (primer idioma);ALEII
8909;Módulo definido por el centro;MDC
9575;Ámbito de Comunicación;AC
9657;Lenguajes de marcas y sistemas;LMSGI
9243;Aplicaciones ofimáticas;APOF
9055;Empresa e iniciativa emprended;EIE
8981;Operaciones auxiliares de mont;OAMCI
9997;Despliegue de aplicaciones web;DAW
9163;Ámbito Social;SOC
9673;Proyecto de administración de ;PASIR
11087;Archivo y comunicación;AC
10643;Simulación empresarial;SE
10645;Proyecto de administración y f;PAF
10819;Protocolo empresarial;PE
